Idea,Pat's Star System,Role,Description,Cheatsheet
Scheme for a DAO to be able to deploy algorithmic trading or market making to a DEX,⭐⭐,Accountant,,
Scheme for multiple reputation or payout targets,⭐⭐⭐⭐⭐,Accountant,Right now it's limited to one which is problematic,
Scheme for DAO opening/clsoing of CDPs using MakerDAO's platform,⭐⭐⭐,Accountant,https://makerdao.com/,
Scheme for DAO credit eval and lending to a particular address,⭐⭐,Accountant,Maybe using Ethlend?,
Integration of DAO with PolyMath or other STO platform for DAO securities,⭐⭐⭐,Accountant,https://polymath.network/,
Creation of a reoccuring monthly payment scheme utilizing USD oracle network,⭐⭐⭐⭐,Accountant,,
Integration to deploy Bancor swap contract,⭐⭐⭐,Accountant,https://www.bancor.network/,
Some sort of automatic bank account registration for DAO fiat ramp?,⭐⭐⭐⭐⭐,Accountant,This will likely require an entire team to pull off but it seems super important,
"Advertisers the Pollinator's program by sharing on social (Facebook, Twitter, etc)",⭐⭐⭐,Talent Scout,,
Reaches out to Blockchain campus programs to talk about the DAO and recruit new coders,⭐⭐⭐⭐,Talent Scout,https://cointelegraph.com/news/blockchain-on-campus-universities-finding-their-role-as-researcher-and-promoter,
Reach out to Ethereum Twitter influencers to join Genesis,⭐⭐⭐⭐⭐,Talent Scout,https://hive.one/ethereum,
Message developers on GitHub directly who are working in decentralized governance in order to recruit them,⭐⭐⭐,Talent Scout,,
"Creation of ""viral"" incentives (such as a GEN giveaway for joining and submitting a proposal)",⭐⭐⭐⭐,Talent Scout,,
Gives away REP to known organization wallets and then tells them about it in effort to get their attention,⭐⭐,Talent Scout,,
Applies initiatives reaching out to certain groups in order to make the DAO more diverse,⭐⭐⭐⭐,Talent Scout,,
"Widely expand talent pool by integrating with as many ""work"" platforms as possible",⭐⭐⭐⭐⭐,Talent Scout,"Bounties.Network, Gitcoin, Fiverr, Elance, TaskRabbit, etc integrations",
